type,source,title,link,Notes,date,Date
Government,USDA,Biden-Harris Administration Invests in Projects to Promote Competition and Strengthen the Nation’s Meat Supply Chain,https://www.usda.gov/media/press-releases/2023/01/05/biden-harris-administration-invests-projects-promote-competition,"Query Working, No New Posts","Jan 5, 2023",
Government,Commerce Dept,"Readout of Secretary Raimondo’s Meeting with Japan’s Minister of Economy, Trade and Industry Yasutoshi Nishimura
",https://www.commerce.gov/news/press-releases/2023/01/readout-secretary-raimondos-meeting-japans-minister-economy-trade-and,"Today, Secretary of Commerce Gina Raimondo met with Japan’s Minister of Economy, Trade and Industry Yasutoshi Nishimura to discuss Prime Minister Kishida’s upcoming visit to Washington and ongoing U.S.-Japan collaboration in areas critical to our shared economic prosperity. The Secretary and Minister discussed the importance of working together to promote and protect critical and emerging...","January 5, 2023",
Government,Congress,Veterans Auto and Education Improvement Act of 2022,https://www.congress.gov/bill/117th-congress/house-bill/7939?s=1&r=1,,01/05/2023,
Government,Congress,Hazard Eligibility and Local Projects Act,https://www.congress.gov/bill/117th-congress/house-bill/1917?s=1&r=2,,01/05/2023,
Government,Congress,Great Dismal Swamp National Heritage Area Act,https://www.congress.gov/bill/117th-congress/house-bill/1154?s=1&r=3,,01/05/2023,
Government,Congress,Sami's Law,https://www.congress.gov/bill/117th-congress/house-bill/1082?s=1&r=4,,01/05/2023,
Government,Congress,Agua Caliente Land Exchange Fee to Trust Confirmation Act,https://www.congress.gov/bill/117th-congress/house-bill/897?s=1&r=5,,01/05/2023,
Government,Congress,"For the relief of Arpita Kurdekar, Girish Kurdekar, and Vandana Kurdekar.",https://www.congress.gov/bill/117th-congress/house-bill/680?s=1&r=6,,01/05/2023,
Government,Congress,Energy Security and Lightering Independence Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/5168?s=1&r=9,,01/05/2023,
Government,Congress,"A bill to amend the Not Invisible Act of 2019 to extend, and provide additional support for, the activities of the Department of the Interior and the Department of Justice Joint Commission on Reducing Violent Crime Against Indians, and for other purposes.",https://www.congress.gov/bill/117th-congress/senate-bill/5087?s=1&r=10,,01/05/2023,
Government,Congress,Don Young Recognition Act,https://www.congress.gov/bill/117th-congress/senate-bill/5066?s=1&r=11,,01/05/2023,
Government,Congress,Colonel Mary Louise Rasmuson Campus of the Alaska VA Healthcare System Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/5016?s=1&r=12,,01/05/2023,
Government,Congress,State Offices of Rural Health Program Reauthorization Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/4978?s=1&r=13,,01/05/2023,
Government,Congress,National Cemeteries Preservation and Protection Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/4949?s=1&r=14,,01/05/2023,
Government,Congress,Respect for Child Survivors Act,https://www.congress.gov/bill/117th-congress/senate-bill/4926?s=1&r=15,,01/05/2023,
Government,Congress,Katimiîn and Ameekyáaraam Sacred Lands Act,https://www.congress.gov/bill/117th-congress/senate-bill/4439?s=1&r=16,,01/05/2023,
Government,Congress,"A bill to designate the facility of the United States Postal Service located at 5302 Galveston Road in Houston, Texas, as the ""Vanessa Guillen Post Office Building"".",https://www.congress.gov/bill/117th-congress/senate-bill/4411?s=1&r=17,,01/05/2023,
Government,Congress,Justice for Victims of War Crimes Act,https://www.congress.gov/bill/117th-congress/senate-bill/4240?s=1&r=18,,01/05/2023,
Government,Congress,Childhood Cancer STAR Reauthorization Act,https://www.congress.gov/bill/117th-congress/senate-bill/4120?s=1&r=19,,01/05/2023,
Government,Congress,Hualapai Tribe Water Rights Settlement Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/4104?s=1&r=20,,01/05/2023,
Government,Congress,Trafficking Victims Prevention and Protection Reauthorization Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/3949?s=1&r=21,,01/05/2023,
Government,Congress,Abolish Trafficking Reauthorization Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/3946?s=1&r=22,,01/05/2023,
Government,Congress,Butterfield Overland National Historic Trail Designation Act,https://www.congress.gov/bill/117th-congress/senate-bill/3519?s=1&r=23,,01/05/2023,
Government,Congress,Low Power Protection Act,https://www.congress.gov/bill/117th-congress/senate-bill/3405?s=1&r=24,,01/05/2023,
Government,Congress,Colorado River Indian Tribes Water Resiliency Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/3308?s=1&r=25,,01/05/2023,
Government,Congress,"A bill to amend the White Mountain Apache Tribe Water Rights Quantification Act of 2010 to modify the enforceability date for certain provisions, and for other purposes.",https://www.congress.gov/bill/117th-congress/senate-bill/3168?s=1&r=26,,01/05/2023,
Government,Congress,Dr. Joanne Smith Memorial Rehabilitation Innovation Centers Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/2834?s=1&r=27,,01/05/2023,
Government,Congress,Equal Pay for Team USA Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/2333?s=1&r=28,,01/05/2023,
Government,Congress,National Heritage Area Act,https://www.congress.gov/bill/117th-congress/senate-bill/1942?s=1&r=29,,01/05/2023,
Government,Congress,Martha Wright-Reed Just and Reasonable Communications Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/1541?s=1&r=30,,01/05/2023,
Government,Congress,Durbin Feeling Native American Languages Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/1402?s=1&r=31,,01/05/2023,
Government,Congress,Protecting American Intellectual Property Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/1294?s=1&r=32,,01/05/2023,
Government,Congress,Native American Language Resource Center Act of 2022,https://www.congress.gov/bill/117th-congress/senate-bill/989?s=1&r=33,,01/05/2023,
Government,Congress,Emmett Till and Mamie Till-Mobley Congressional Gold Medal Act of 2021,https://www.congress.gov/bill/117th-congress/senate-bill/450?s=1&r=34,,01/05/2023,
Government,Defense Dept,On-Camera Press Briefing,https://www.defense.gov/News/Advisories/Advisory/Article/3260895/on-camera-press-briefing/,,2 hours ago,
Government,Defense Dept,Pentagon Press Secretary Air Force Brig. Gen. Pat Ryder Holds an On-Camera Press Briefing,https://www.defense.gov/News/Transcripts/Transcript/Article/3260496/pentagon-press-secretary-air-force-brig-gen-pat-ryder-holds-an-on-camera-press/,,16 hours ago,
Government,Defense Dept,"Contracts for Jan. 5, 2023",https://www.defense.gov/News/Contracts/Contract/Article/3260235//,,20 hours ago,
Government,Defense Dept,Plan of Actions and Milestones for Implementation of the Naming Commission Recommendations,https://media.defense.gov/2023/Jan/05/2003140495/-1/-1/1/20230105-USD-A-S-APPROVAL-OF-NAMING-COMMISSION-POAMS.PDF,,23 hours ago,
Government,Defense Dept,DoD Begins Implementation of Naming Commission Recommendations,https://www.defense.gov/News/Releases/Release/Article/3259966/dod-begins-implementation-of-naming-commission-recommendations/,,23 hours ago,
Government,Ed Dept, Statement from Secretary Cardona on Legal Brief Filed with the Supreme Court on the Student Debt Relief Program  ,/news/press-releases/statement-secretary-cardona-legal-brief-filed-supreme-court-student-debt-relief-program, U.S. Secretary of Education Miguel Cardona issued the following statement after the Departments of Education and Justice filed a legal brief with the Supreme Court on the Biden-Harris  Administration’s Student Debt Relief Program: ,"January 5, 2023",
Government,Energy Dept,DOE Proposes New Efficiency Standards For Distribution Transformers,https://www.energy.gov/articles/doe-proposes-new-efficiency-standards-distribution-transformers,"Query Working, No New Posts","December 28, 2022",
Government,HHS Dept,HHS Offers States Flexibility to Better Address Medicaid Enrollees’ Needs,https://www.hhs.gov/about/news/2023/01/04/hhs-offers-states-flexibility-to-better-address-medicaid-enrollees-needs.html,notes,"January 4, 2023",
Government,HHS Dept,SAMHSA Announces National Survey on Drug Use and Health (NSDUH) Results Detailing Mental Illness and Substance Use Levels in 2021,https://www.hhs.gov/about/news/2023/01/04/samhsa-announces-national-survey-drug-use-health-results-detailing-mental-illness-substance-use-levels-2021.html,notes,"January 4, 2023",
Government,Homeland Dept,DHS Statement on Safety and Enforcement During Severe Weather and Flooding in California,https://www.dhs.gov/news/2023/01/05/dhs-statement-safety-and-enforcement-during-severe-weather-and-flooding-california,,2023-01-05,
Government,Homeland Dept,DHS Continues to Prepare for End of Title 42; Announces New Border Enforcement Measures and Additional Safe and Orderly Processes ,https://www.dhs.gov/news/2023/01/05/dhs-continues-prepare-end-title-42-announces-new-border-enforcement-measures-and,,2023-01-05,
Government,HUD Dept,"HUD Closes Rental Assistance Demonstration (RAD) Conversion in Boston, MA, to Preserve 445 Affordable Rental Homes",https://www.hud.gov/press/press_releases_media_advisories/HUD_No_23_003,notes,"January 6, 2023",
Government,HUD Dept,Dr. Kimberly A. McClain Sworn in as Assistant Secretary for Congressional and Intergovernmental Relations,https://www.hud.gov/press/press_releases_media_advisories/HUD_No_23_002,notes,"January 4, 2023",
Government,HUD Dept,HUD Awards $24.7 Million to Provide Affordable Housing to Support Community Living for Non-Elderly People with Disabilities,https://www.hud.gov/press/press_releases_media_advisories/HUD_No_23_001,notes,"January 4, 2023",
Government,Interior Dept,Interior Department Welcomes Significant Progress for Indian Water Rights Settlements,https://www.doi.gov/pressreleases/interior-department-welcomes-significant-progress-indian-water-rights-settlements,notes,1/5/2023,
Government,IRS,Final 2022 quarterly estimated tax payment due January 17,https://www.irs.gov//newsroom/final-2022-quarterly-estimated-tax-payment-due-january-17,"IR-2023-01, January 4, 2023 — Many taxpayers make quarterly estimated tax payments during the year to stay current on their taxes, but many who should overlook this step. The Internal Revenue Service today urged those who paid too little tax in 2022 to make a fourth quarter payment on or before January 17 to avoid an unexpected potential tax bill or penalty when they file in 2023. ",,"January 4, 2023"
Government,Justice Dept,Readout of Congressional Visit to the FBI’s Criminal Justice Information Services Division,https://www.justice.gov/opa/pr/readout-congressional-visit-fbi-s-criminal-justice-information-services-division,notes,idate,
Government,Justice Dept,Two North Carolina Tax Preparers Sentenced to Prison for $5 Million Tax Conspiracy,https://www.justice.gov/opa/pr/two-north-carolina-tax-preparers-sentenced-prison-5-million-tax-conspiracy,notes,idate,
Government,Justice Dept,Former Judge Arrested for Bribery and Obstruction of Justice,https://www.justice.gov/opa/pr/former-judge-arrested-bribery-and-obstruction-justice,notes,idate,
Government,Labor Dept,Statement by US Secretary of Labor Walsh on December Jobs Report,"https://www.dol.gov/newsroom/releases/osec/osec20230106
","WASHINGTON – U.S. Secretary of Labor Marty Walsh issued the following statement on the December 2022 Employment Situation Report:
“Today, the Bureau of Labor Statistics reported that the American economy added 223,000 jobs in the month of December, and the unemployment rate fell to a historically low 3.5 percent while more people entered the workforce.","January 6, 2023",
Government,Labor Dept,Charleston trampoline park pays $11K penalty after allowing  14- and 15-year-olds to work outside legally permitted hours,"https://www.dol.gov/newsroom/releases/whd/whd20230105-0
","Employer:  SC1 Summit LLC – operating as Summit Adventure Park Charleston
Investigation site: 1964 Ashley River Road, Charleston, SC 29407","January 5, 2023",
Government,Labor Dept,"US Department of Labor recovers $55K in back wages for 7 workers after Durham restaurant fails to pay overtime, denies tips left by customers","https://www.dol.gov/newsroom/releases/whd/whd20230105
","Employer:  Kandible Inc., operating as Indian Monsoon 
Investigation site: 105 W. Morgan St., Durham, NC 27701","January 5, 2023",
Government,Labor Dept,Unemployment Insurance Weekly Claims Report,"https://www.dol.gov/newsroom/releases/eta/eta20230105
","In the week ending December 31, the advance figure for seasonally adjusted initial claims was 204,000, a decrease of 19,000 from the previous week's revised level. The previous week's level was revised down by 2,000 from 225,000 to 223,000. The 4-week moving average was 213,750, a decrease of 6,750 from the previous week's revised average. The previous week's average was revised down by 500 from 221,000 to 220,500.
","January 5, 2023",
Government,Labor Dept,US Department of Labor investigation of fatal equipment rollover incident finds Texas fencing contractor exposed workers to deadly safety hazards ,"https://www.dol.gov/newsroom/releases/osha/osha20230104-2
","LUBBOCK, TX – A federal workplace safety investigation into how a 15-year-old worker tragically suffered fatal injuries while installing fencing in Guthrie has found the employer failed to follow required workplace safety standards.","January 4, 2023",
Government,Labor Dept,Investigation finds American Airlines retaliated against flight attendants  who reported worker illnesses caused by fumes in aircraft cabins,"https://www.dol.gov/newsroom/releases/osha/osha20230104-1
","FORT WORTH, TX – Federal safety and health investigators have determined that one of the nation’s largest airlines retaliated against flight attendants who reported worker illnesses caused by toxic fumes entering aircraft cabins.","January 4, 2023",
Government,Labor Dept,"US Department of Labor, Ohio craft brewing industry renew alliance  to improve workplace place safety, offer web-based training ","https://www.dol.gov/newsroom/releases/osha/osha20230104-0
","Who:          U.S. Department of Labor’s Occupational Safety and Health Administration
                  Ohio Craft Brewers Association
                  Master Brewers Association of the Americas District Midwest ","January 4, 2023",
Government,Labor Dept,"US Department of Labor renews ‘Star’ designation of Millstone Power Station for workplace safety, health achievements","https://www.dol.gov/newsroom/releases/osha/osha20230104
","Participant:   Millstone Power Station, Waterford, Connecticut.","January 4, 2023",
Government,State Dept,New Sanctions Targeting Iran’s UAV and Ballistic Missile Industries,https://www.state.gov/new-sanctions-targeting-irans-uav-and-ballistic-missile-industries/,,"January 6, 2023",
Government,State Dept,2023 U.S.-Japan Security Consultative Committee,https://www.state.gov/2023-u-s-japan-security-consultative-committee/,,"January 6, 2023",
Government,State Dept,Under Secretary Fernandez’s Travel to Seoul and Tokyo,https://www.state.gov/under-secretary-fernandezs-travel-to-seoul-and-tokyo/,,"January 5, 2023",
Government,State Dept,On the Appointment of Sonexay Siphandone as Prime Minister of Laos,https://www.state.gov/on-the-appointment-of-sonexay-siphandone-as-prime-minister-of-laos/,,"January 5, 2023",
Government,State Dept,The United States and Türkiye Take Joint Action to Disrupt ISIS Financing,https://www.state.gov/the-united-states-and-turkiye-take-joint-action-to-disrupt-isis-financing/,,"January 5, 2023",
Government,State Dept,Rewards for Justice – Reward Offer for Information on Maalim Ayman and Others Responsible for 2020 Attack on Manda Bay Airfield in Kenya,https://www.state.gov/rewards-for-justice-reward-offer-for-information-on-maalim-ayman-and-others-responsible-for-2020-attack-on-manda-bay-airfield-in-kenya/,,"January 5, 2023",
Government,State Dept,Statement on Report by UN Group of Experts,https://www.state.gov/statement-on-report-by-un-group-of-experts/,,"January 4, 2023",
Government,State Dept,Secretary Antony J. Blinken at Launch of the U.S. Strategy on Global Women’s Economic Security,https://www.state.gov/secretary-antony-j-blinken-at-launch-of-the-u-s-strategy-on-global-womens-economic-security/,,"January 4, 2023",
Government,State Dept,U.S. Special Envoy for Yemen Lenderking’s Travel to Jordan and Saudi Arabia,https://www.state.gov/u-s-special-envoy-for-yemen-lenderkings-travel-to-jordan-and-saudi-arabia/,,"January 4, 2023",
Government,Supreme Court,title,ilink,No New Cases,idate,
Government,Transportation Dept,"Biden-Harris Administration Announces $2.1 Billion to Improve Four Nationally Significant Bridges Through the Bipartisan Infrastructure Law’s First Large Bridge Grants

",https://www.transportation.gov/newsroom/press-releases,notes,"January 4, 2023",
Government,Treasury Dept,Treasury Sanctions Suppliers of Iranian UAVs Used to  Target Ukraine’s Civilian Infrastructure ,https://home.treasury.gov/news/press-releases/jy1182,notes,"January 6, 2023",
Government,Treasury Dept,The United States and Türkiye Take Joint Action to Disrupt ISIS Financing,https://home.treasury.gov/news/press-releases/jy1181,notes,"January 5, 2023",
Government,VA Dept,#VeteranOfTheDay Navy Veteran John Coltrane,https://news.va.gov/114363/veteranoftheday-navy-john-coltrane/,notes,"January 6th, 2023",
Government,VA Dept,Veteran Jennifer Higginbotham finds hope and purpose in Million Veteran program,https://news.va.gov/114307/veteran-jennifer-higginbotham-finds-hope-and-purpose-in-million-veteran-program/,notes,"January 6th, 2023",
Government,VA Dept,"Daily Schedule – January 6, 2023",https://news.va.gov/114596/daily-schedule-january-6-2023/,notes,"January 6th, 2023",
Government,VA Dept,Veteran Chet Frith describes his personal PACT Act connection,https://news.va.gov/113728/veteran-chet-frith-personal-pact-act-connection/,notes,"January 6th, 2023",
Government,VA Dept,#VeteranOfTheDay Marine Corps Veteran Jay Vargas,https://news.va.gov/114162/veteranoftheday-marine-corps-jay-vargas/,notes,"January 5th, 2023",
Government,VA Dept,How to support LGBTQ+ Veterans in crisis,https://news.va.gov/114088/how-to-support-lgbtq-veterans-in-crisis/,notes,"January 5th, 2023",
Government,VA Dept,"Daily Schedule – January 5, 2023",https://news.va.gov/114552/daily-schedule-january-5-2023/,notes,"January 5th, 2023",
Government,VA Dept,#VeteranOfTheDay Air Force Veteran Sheila McGlown,https://news.va.gov/114353/veteranoftheday-air-force-sheila-mcglown/,notes,"January 4th, 2023",
Government,VA Dept,South Texas VA hosts PACT Act Week of Action event,https://news.va.gov/114303/south-texas-hosts-pact-act-week-action/,notes,"January 4th, 2023",
Government,VA Dept,Top five reasons why Veterans should consider opening a franchise,https://news.va.gov/114482/top-five-reasons-consider-franchise/,notes,"January 4th, 2023",
Government,VA Dept,"Daily Schedule – January 4, 2023",https://news.va.gov/114512/daily-schedule-january-4-2023/,notes,"January 4th, 2023",
Government,White House,Statement by President Joe Biden on the December Jobs Report			,https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/06/statement-by-president-joe-biden-on-the-december-jobs-report/,notes,"January 06, 2023",
Government,White House,"Readout of National Security Advisor Jake Sullivan’s Call with Francesco Talo, Diplomatic Advisor to the Prime Minister of Italy			",https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/readout-of-national-security-advisor-jake-sullivans-call-with-francesco-talo-diplomatic-advisor-to-the-prime-minister-of-italy/,notes,"January 05, 2023",
Government,White House,"Press Release: Bills Signed: H.R. 680, H.R. 897, H.R. 1082, H.R. 1154, H.R. 1917, H.R. 7939, S. 450, S. 989, S. 1294, S. 1402, S. 1541, S. 1942, S. 2333, S. 2834, S. 3168, S. 3308, S. 3405, S. 3519, S. 3946, S. 3949, S. 4104, S. 4120, S. 4240, S. 4411, S. 4439, S. 4926, S. 4949, S. 4978, S. 5016, S. 5066, S. 5087, S. 5168, S. 5328, S. 5329			",https://www.whitehouse.gov/briefing-room/legislation/2023/01/05/press-release-bills-signed-h-r-680-h-r-897-h-r-1082-h-r-1154-h-r-1917-h-r-7939-s-450-s-989-s-1294-s-1402-s-1541-s-1942-s-2333-s-2834-s-3168-s-3308-s-3405-s-35/,notes,"January 05, 2023",
Government,White House,Remarks by President Biden in Cabinet Meeting			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/05/remarks-by-president-biden-in-cabinet-meeting-3/,notes,"January 05, 2023",
Government,White House,"President Biden Announces Key Regional Appointments for GSA, HHS			",https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/president-biden-announces-key-regional-appointments-for-gsa-hhs/,notes,"January 05, 2023",
Government,White House,Remarks by President Biden on Border Security and Enforcement			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/05/remarks-by-president-biden-on-border-security-and-enforcement/,notes,"January 05, 2023",
Government,White House,Joint Press Statement Following a Call between the President Joe Biden and the Chancellor of the Federal Republic of Germany Olaf Scholz			,https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/joint-press-statement-following-a-call-between-the-president-joe-biden-and-the-chancellor-of-the-federal-republic-of-germany-olaf-scholz/,notes,"January 05, 2023",
Government,White House,"Statement from White House Press Secretary Karine Jean-Pierre on the Shooting in Enoch City, Utah			",https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/statement-from-white-house-press-secretary-karine-jean-pierre-on-the-shooting-in-enoch-city-utah/,notes,"January 05, 2023",
Government,White House,FACT SHEET: Biden-⁠Harris Administration Announces New Border Enforcement Actions			,https://www.whitehouse.gov/briefing-room/statements-releases/2023/01/05/fact-sheet-biden-harris-administration-announces-new-border-enforcement-actions/,notes,"January 05, 2023",
Government,White House,Remarks by President Biden After Marine One Arrival			,https://www.whitehouse.gov/briefing-room/speeches-remarks/2023/01/04/remarks-by-president-biden-after-marine-one-arrival-15/,notes,"January 04, 2023",
